Voltage (V),Current (A),Motor Speed (RPM),Temperature (°C),Vibration (g),Ambient Temp (°C),Humidity (%),Fault Label
0.9389222561858277,0.19953520847257508,0.5444030305614175,0.23950804238730927,0.3012837712138589,0.5824351728359614,0.3973396531120107,0.0
0.8048544972606568,0.5971882388926129,0.07341583192612783,0.18037280874708533,0.920876201012369,0.1282029112821339,0.12452321628527951,1.0
0.9498766972560151,0.4268961646241929,0.08300739481663591,0.2514357968380515,0.6109963178523832,0.714957211046348,0.003282522213080674,1.0
0.9543699325140043,0.12117506772672706,0.9627712888003817,0.3779416084171511,0.07061867140317356,0.7767233474874775,0.5025524977931412,0.0
0.8104640450186151,0.382501409468062,0.5572228902612288,0.04869387373245665,0.07883388406870155,0.3263498763039202,0.16849267652363698,0.0
0.9665762073479409,0.24026179474791723,0.09065794097478733,0.4047195354547194,0.1551860959418052,0.780072077989834,0.7041054130991425,0.0
0.8382145574284388,0.3078129493167372,0.2354583171880986,0.4261761062128556,0.28754710399280814,0.9240887255059427,0.6262884930517111,0.0
0.7646254829811883,0.39185446640297383,0.20705139680677995,0.4427576776995076,0.7827497320383693,0.6009431631894786,0.9113821568018746,1.0
0.8130380285706142,0.22444276481091138,0.5225675980382234,0.09073367098971197,0.33852633658258086,0.2999079160737065,0.55926130811426,0.0
0.5864419009247064,0.27539164427934304,0.3545169467063696,0.39781590458414195,0.4517834873862477,0.7279636366908693,0.326355041263792,2.0
0.8563066542292777,0.5519668081525722,0.43591368859242663,0.44526959531121135,0.6164943532866075,0.6958614071546538,0.27746967982560256,1.0
0.18031893552617584,0.45275010843375985,0.39283077810035494,0.7823958045831415,0.22686743150106675,0.2867273632006142,0.5152663051574272,3.0
0.6296250687730687,0.1809347549051565,0.3371683958409367,0.5386843311337969,0.24183261146392038,0.15355092743455456,0.6496472819167763,2.0
0.08031788158449049,0.434192114897459,0.10981119832218411,0.8160219982850944,0.14044929868538097,0.6571255265338898,0.3260727512991263,3.0
0.9540301383111411,0.9395079794342801,0.8968162641883693,0.0097802204541243,0.010597697950299745,0.29839854270630695,0.9695466340364688,0.0
